Property_ID,BHK,Area_SqFt,Locality,Locality_Tier,Price_Lakhs,Price_Per_SqFt,Property_Type,Furnishing_Status,Construction_Status,Property_Overview,Investment_Analysis,Location_Advantages,Target_Buyers,Total_Amenities,Amenities,Nearby_Features,Selling_Points,Views_Facing,Quality_Score,Quality_Rating,Quality_Out_Of_100,Locality_Avg_Price,Locality_Character,Locality_Description,Ideal_For,Market_Position,Price_vs_Market_Percent,Investment_Recommendation,AI_Model,Analysis_Type,Batch_Number
10,4.0,4077.0,Bodakdev,Tier 1,354.0,8682.86,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.5,Poor,35.0,189.7,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Large Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,86.61,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
11,4.0,4077.0,Bodakdev,Tier 1,354.0,8682.86,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.5,Poor,35.0,189.7,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Large Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,86.61,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
12,3.0,2907.0,Bhadaj,Tier 3,351.0,12074.3,Independent House,Unfurnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,182.04,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers",Above Market - Overpriced,92.81,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
13,4.0,3700.0,Ambli,Tier 3,351.0,9486.49,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.5,Poor,35.0,217.89,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Large Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,61.09,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
14,3.0,2907.0,Bhadaj,Tier 3,351.0,12074.3,Independent House,Unfurnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,182.04,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers",Above Market - Overpriced,92.81,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
15,3.0,2907.0,Bhadaj,Tier 3,351.0,12074.3,Independent House,Unfurnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,182.04,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers",Above Market - Overpriced,92.81,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
16,5.0,3514.0,Bopal,Tier 1,351.0,9988.62,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.5,Poor,35.0,104.61,Premium & Highly Active & Comfortable,"A high-end residential area, high market activity, moderately-sized properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,235.53,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
17,4.0,3600.0,Bopal,Tier 1,350.0,9722.22,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.0,Poor,30.0,104.61,Premium & Highly Active & Comfortable,"A high-end residential area, high market activity, moderately-sized properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,234.58,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
18,4.0,3800.0,Prahlad Nagar,Tier 1,350.0,9210.53,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,145.22,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,141.01,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
19,4.0,3800.0,Prahlad Nagar,Tier 1,350.0,9210.53,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,145.22,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,141.01,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
20,5.0,3300.0,Bopal,Tier 1,350.0,10606.06,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,104.61,Premium & Highly Active & Comfortable,"A high-end residential area, high market activity, moderately-sized properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,234.58,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
21,4.0,3400.0,Thaltej,Tier 1,350.0,10294.12,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,157.88,Premium & Active & Spacious,"A high-end residential area, good market activity, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,121.69,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
22,4.0,3400.0,Thaltej,Tier 1,350.0,10294.12,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,157.88,Premium & Active & Spacious,"A high-end residential area, good market activity, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,121.69,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
23,5.0,3500.0,Thaltej,Tier 1,350.0,10000.0,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,157.88,Premium & Active & Spacious,"A high-end residential area, good market activity, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,121.69,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
24,5.0,3300.0,Bopal,Tier 1,350.0,10606.06,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,104.61,Premium & Highly Active & Comfortable,"A high-end residential area, high market activity, moderately-sized properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,234.58,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
25,4.0,1800.0,Saijpur Bogha,Tier 3,350.0,19444.44,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.0,Poor,30.0,65.01,Mid-Range & Emerging & Compact,"A well-established residential locality, developing area, compact living spaces","Families, Upper-Middle Class, Apartment Seekers",Above Market - Overpriced,438.38,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
26,4.0,2107.0,Satellite,Tier 1,344.0,16326.53,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.5,Poor,35.0,126.55,Premium & Active & Spacious,"A high-end residential area, good market activity, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,171.83,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
27,4.0,2107.0,Satellite,Tier 1,344.0,16326.53,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.5,Poor,35.0,126.55,Premium & Active & Spacious,"A high-end residential area, good market activity, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,171.83,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
28,4.0,2166.0,Ambli,Tier 3,336.0,15512.47,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.5,Poor,35.0,217.89,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Large Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,54.21,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
29,4.0,207.0,Vaishno Devi,Tier 2,335.0,161835.75,Apartment,Semi-Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.0,Poor,30.0,100.66,Premium & Highly Active & Comfortable,"A high-end residential area, high market activity, moderately-sized properties","Small Families / Working Professionals, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,232.8,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
30,4.0,1575.0,Motera,Tier 2,330.0,20952.38,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,114.48,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,188.26,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
31,4.0,3420.0,Prahlad Nagar,Tier 1,325.0,9502.92,Apartment,Semi-Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,145.22,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,123.8,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
32,4.0,3420.0,Prahlad Nagar,Tier 1,325.0,9502.92,Apartment,Semi-Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,145.22,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,123.8,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
33,4.0,2500.0,Jodhpur,Tier 2,325.0,13000.0,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,182.93,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,77.66,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
34,4.0,2500.0,Jodhpur,Tier 2,325.0,13000.0,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,182.93,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,77.66,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
35,4.0,2000.0,Nikol,Tier 2,325.0,16250.0,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.0,Poor,30.0,68.45,Mid-Range & Active & Comfortable,"A well-established residential locality, good market activity, moderately-sized properties","Small Families / Working Professionals, Upper-Middle Class, Apartment Seekers",Above Market - Overpriced,374.8,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
36,4.0,5706.0,Shilaj,Tier 2,325.0,5695.76,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.5,Poor,35.0,98.15,Mid-Range & Highly Active & Comfortable,"A well-established residential locality, high market activity, moderately-sized properties","Families, Upper-Middle Class, Apartment Seekers",Above Market - Overpriced,231.13,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
37,5.0,3705.0,Makarba,Tier 2,322.0,8690.96,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,125.13,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,157.33,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
38,4.0,2458.0,Thaltej,Tier 1,317.0,12896.66,Apartment,Furnished,Under Construction,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.5,Poor,35.0,157.88,Premium & Active & Spacious,"A high-end residential area, good market activity, larger properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,100.79,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
39,5.0,4610.0,Bopal,Tier 1,317.0,6876.36,Apartment,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,104.61,Premium & Highly Active & Comfortable,"A high-end residential area, high market activity, moderately-sized properties","Families, High-Income Buyers, Apartment Seekers",Above Market - Overpriced,203.03,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
40,4.0,2835.0,Bhadaj,Tier 3,315.0,11111.11,Independent House,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,182.04,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers",Above Market - Overpriced,73.04,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
41,4.0,2835.0,Bhadaj,Tier 3,315.0,11111.11,Independent House,Furnished,Ready to Move,Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),Template-based brochure content (install HuggingFace API for AI-generated content),2,"amenities, count","nearby, count","selling_points, count","views, facing",3.25,Poor,32.5,182.04,Premium & Emerging & Spacious,"A high-end residential area, developing area, larger properties","Families, High-Income Buyers",Above Market - Overpriced,73.04,AVOID - Poor Quality or Overpriced,Mixtral-8x7B-Instruct (HuggingFace),AI-Powered Comprehensive Report,1
